stock,0_Absolute energy,0_Average power,0_ECDF Percentile Count_0,0_ECDF Percentile Count_1,0_ECDF Percentile_0,0_ECDF Percentile_1,0_ECDF_0,0_ECDF_1,0_ECDF_2,0_ECDF_3,0_ECDF_4,0_ECDF_5,0_ECDF_6,0_ECDF_7,0_ECDF_8,0_ECDF_9,0_Entropy,0_Histogram_0,0_Histogram_1,0_Histogram_2,0_Histogram_3,0_Histogram_4,0_Histogram_5,0_Histogram_6,0_Histogram_7,0_Histogram_8,0_Histogram_9,0_Interquartile range,0_Kurtosis,0_Max,0_Mean,0_Mean absolute deviation,0_Median,0_Median absolute deviation,0_Min,0_Peak to peak distance,0_Root mean square,0_Skewness,0_Standard deviation,0_Variance
BABA,26977586.354908675,769030.3978024138,701.0,2807.0,74.83999633789062,95.58999633789062,0.00028498147620404675,0.0005699629524080935,0.0008549444286121402,0.001139925904816187,0.0014249073810202336,0.0017098888572242804,0.001994870333428327,0.002279851809632374,0.002564833285836421,0.002849814762040467,0.9667143808394613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.229995727539062,0.09829698189040847,125.47000122070312,86.80476073696933,9.711138277310438,85.95500183105469,8.285003662109375,58.41999816894531,67.05000305175781,87.68188173074311,0.654121610608235,12.371172023762742,153.04589724152993
BBY,20117276.933666587,573468.5556917499,701.0,2807.0,70.6050033569336,80.80999755859375,0.00028498147620404675,0.0005699629524080935,0.0008549444286121402,0.001139925904816187,0.0014249073810202336,0.0017098888572242804,0.001994870333428327,0.002279851809632374,0.002564833285836421,0.002849814762040467,0.9228370527718788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.261398315429688,-0.4824783601015854,93.0199966430664,75.4993696791659,4.665845283660409,75.18000030517578,4.130104064941406,62.060001373291016,30.95999526977539,75.71691540046994,0.06495461046725054,5.735543201002661,32.89645581056784
COST,1118205070.6750333,31875857.202823073,701.0,2807.0,486.42999267578125,654.5150146484375,0.00028498147620404675,0.0005699629524080935,0.0008549444286121402,0.001139925904816187,0.0014249073810202336,0.0017098888572242804,0.001994870333428327,0.002279851809632374,0.002564833285836421,0.002849814762040467,0.9916693258575968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.25003051757812,-0.16449774441174325,788.8499755859375,557.3946716534714,70.53405934085298,529.3900146484375,39.655029296875,407.5849914550781,381.2649841308594,564.5066268342839,1.0225639235397148,89.32475441970277,7978.9117521402095
CVS,23667153.45680634,674662.2992248102,701.0,2807.0,69.66999816894531,95.08999633789062,0.00028498147620404675,0.0005699629524080935,0.0008549444286121402,0.001139925904816187,0.0014249073810202336,0.0017098888572242804,0.001994870333428327,0.002279851809632374,0.002564833285836421,0.002849814762040467,0.9562806539128307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.44499969482422,-1.1205165182888923,107.18000030517578,81.17016818225129,11.163073809135698,76.30000305175781,7.930000305175781,53.834999084472656,53.345001220703125,82.12612452605065,0.31925010800002773,12.494163714847755,156.10412693341823
DG,134693017.8854615,3839595.720794228,701.0,2807.0,135.15750122070312,243.0800018310547,0.00028498147620404675,0.0005699629524080935,0.0008549444286121402,0.001139925904816187,0.0014249073810202336,0.0017098888572242804,0.001994870333428327,0.002279851809632374,0.002564833285836421,0.002849814762040467,0.98199014565855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.97999572753906,-1.5574744975108932,261.0400085449219,189.4904526291698,46.59916587785134,204.8800048828125,42.82499694824219,101.33499908447266,159.70500946044922,195.92094086997665,-0.14373233047057393,49.78336503059279,2478.3834337692488
DLTR,70243621.42610174,2002383.7350656143,701.0,2807.0,126.71499633789062,153.5124969482422,0.00028498147620404675,0.0005699629524080935,0.0008549444286121402,0.001139925904816187,0.0014249073810202336,0.0017098888572242804,0.001994870333428327,0.002279851809632374,0.002564833285836421,0.002849814762040467,0.9674288593808567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.354995727539062,-0.42228171575294704,175.11000061035156,140.59401959005874,12.598893653951226,142.38499450683594,9.904998779296875,103.01000213623047,72.0999984741211,141.48544422635385,-0.37652562947286466,15.85725649155176,251.45258343886047
GPS,702581.9744263149,20027.992429484464,701.0,2807.0,9.329999923706055,19.389999389648438,0.00028498147620404675,0.0005699629524080935,0.0008549444286121402,0.001139925904816187,0.0014249073810202336,0.0017098888572242804,0.001994870333428327,0.002279851809632374,0.002564833285836421,0.002849814762040467,0.8974770596736723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.270000457763672,0.0003504374020133483,28.475000381469727,13.246359760043084,4.07541621670154,11.100099563598633,2.0000991821289062,7.275000095367432,21.200000286102295,14.150012304813202,1.089276681672163,4.975620698352759,24.7568013338764
HD,348945480.6881689,9947134.569218041,701.0,2807.0,289.6000061035156,334.5199890136719,0.00028498147620404675,0.0005699629524080935,0.0008549444286121402,0.001139925904816187,0.0014249073810202336,0.0017098888572242804,0.001994870333428327,0.002279851809632374,0.002564833285836421,0.002849814762040467,0.9794606971270962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.317108154296875,-0.21435989994617044,396.7900085449219,314.13104205431847,22.652321435712505,309.2200012207031,18.760009765625,265.9002990722656,130.88970947265625,315.3458390422253,0.6943889274635832,27.652967636639584,764.6866191130363
KR,7987310.843609397,227688.45050197828,701.0,2807.0,44.814998626708984,49.15299987792969,0.00028498147620404675,0.0005699629524080935,0.0008549444286121402,0.001139925904816187,0.0014249073810202336,0.0017098888572242804,0.001994870333428327,0.002279851809632374,0.002564833285836421,0.002849814762040467,0.8938483925713278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.552398681640625,1.2161421656824087,57.83000183105469,47.59036508072608,2.496521883244046,46.86199951171875,1.7569999694824219,42.1150016784668,15.71500015258789,47.70991128803737,1.301888067262948,3.3753202211943636,11.392786595603567
MCD,261909749.50720713,7466070.396442621,701.0,2807.0,256.9549865722656,290.3949890136719,0.00028498147620404675,0.0005699629524080935,0.0008549444286121402,0.001139925904816187,0.0014249073810202336,0.0017098888572242804,0.001994870333428327,0.002279851809632374,0.002564833285836421,0.002849814762040467,0.9678428017690713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.70501708984375,-0.7142642253578377,301.69000244140625,272.68063638447427,14.10442598241054,272.79998779296875,13.714996337890625,228.92999267578125,72.760009765625,273.2021724781778,-0.36557876821141594,16.872983961176804,284.69758775412964
