Datetime,BABA,BBY,COST,CVS,DG,DLTR,GPS,HD,KR,MCD,NKE,ROST,SBUX,TGT,TJX,WBA,WMT,YUM
2022-05-16 09:30:00-04:00,88.30999755859375,86.13999938964844,493.3900146484375,98.05999755859375,232.1300048828125,159.8000030517578,12.300000190734863,296.0299987792969,53.119998931884766,243.1999969482422,113.16999816894531,91.66999816894531,74.19000244140625,218.6199951171875,56.540000915527344,43.72999954223633,49.1966667175293,112.19000244140625
2022-05-16 10:30:00-04:00,87.47000122070312,84.98999786376953,491.3760070800781,98.04000091552734,231.44000244140625,159.49000549316406,12.079000473022461,294.2699890136719,53.0,243.22000122070312,112.30000305175781,90.65499877929688,73.26000213623047,217.0500030517578,55.79499816894531,43.79999923706055,49.176666259765625,111.80500030517578
2022-05-16 11:30:00-04:00,86.80999755859375,84.77999877929688,493.1099853515625,98.19000244140625,232.0,159.9149932861328,12.255000114440918,296.7900085449219,52.970001220703125,243.75999450683594,112.06999969482422,90.87999725341797,73.38500213623047,217.97999572753906,55.790000915527344,43.900001525878906,49.24996566772461,112.11000061035156
2022-05-16 12:30:00-04:00,87.80000305175781,85.5,495.0,99.1050033569336,235.55999755859375,161.53500366210938,12.350000381469727,298.8450012207031,53.439998626708984,243.88999938964844,112.75669860839844,91.70999908447266,73.1134033203125,220.52999877929688,56.5099983215332,44.310001373291016,49.61000061035156,112.33000183105469
2022-05-16 13:30:00-04:00,87.94999694824219,86.26000213623047,496.3900146484375,99.29000091552734,235.0800018310547,161.85499572753906,12.359999656677246,299.17999267578125,53.15999984741211,244.97000122070312,113.19999694824219,92.04000091552734,73.3499984741211,221.2899932861328,56.58000183105469,44.46500015258789,49.573333740234375,112.8949966430664
2022-05-16 14:30:00-04:00,87.0999984741211,85.44999694824219,494.6329040527344,98.7300033569336,234.60000610351562,161.61000061035156,12.489999771118164,296.79998779296875,53.06999969482422,243.7100067138672,112.44999694824219,91.7300033569336,72.79000091552734,220.36500549316406,56.189998626708984,44.154998779296875,49.42303466796875,112.19000244140625
2022-05-16 15:30:00-04:00,86.56999969482422,84.77999877929688,494.6600036621094,98.58000183105469,234.39999389648438,161.41000366210938,12.520000457763672,296.45001220703125,53.20000076293945,244.1999969482422,112.69999694824219,91.83999633789062,72.43000030517578,219.3699951171875,56.13999938964844,44.15999984741211,49.41999816894531,112.16999816894531
2022-05-17 09:30:00-04:00,93.13999938964844,82.76499938964844,492.0899963378906,98.54000091552734,226.7899932861328,158.5399932861328,12.510000228881836,294.67999267578125,51.68000030517578,243.7899932861328,113.73500061035156,90.37999725341797,73.0,212.34500122070312,54.560001373291016,44.54499816894531,45.28999710083008,112.23999786376953
2022-05-17 10:30:00-04:00,91.29049682617188,82.52999877929688,487.1099853515625,99.20999908447266,226.94000244140625,157.0399932861328,12.524999618530273,293.7969970703125,51.369998931884766,242.5449981689453,114.21040344238281,89.91999816894531,73.12999725341797,211.68499755859375,54.20000076293945,44.70000076293945,44.529998779296875,112.05999755859375
2022-05-17 11:30:00-04:00,90.91999816894531,83.51000213623047,490.1632080078125,99.11499786376953,228.2550048828125,157.27000427246094,12.725000381469727,297.8900146484375,51.19060134887695,241.47000122070312,114.38999938964844,90.66999816894531,73.48999786376953,214.63040161132812,55.04999923706055,44.619998931884766,44.1884651184082,112.19999694824219
2022-05-17 12:30:00-04:00,90.36859893798828,83.77999877929688,490.13519287109375,99.24500274658203,227.82000732421875,158.10499572753906,12.725000381469727,298.8179931640625,51.26499938964844,241.14999389648438,114.8949966430664,91.5250015258789,73.8499984741211,213.0,55.63999938964844,44.564998626708984,44.18333435058594,112.5
2022-05-17 13:30:00-04:00,90.22000122070312,83.98999786376953,486.1000061035156,98.9739990234375,226.8000030517578,156.52000427246094,12.739999771118164,300.010009765625,50.959999084472656,239.82000732421875,114.66000366210938,91.37000274658203,73.48999786376953,212.9600067138672,55.6150016784668,44.64500045776367,43.674468994140625,112.0999984741211
2022-05-17 14:30:00-04:00,91.70999908447266,84.5,490.7200012207031,99.4000015258789,227.99000549316406,156.86000061035156,12.854999542236328,303.6499938964844,51.130001068115234,241.33999633789062,115.66000366210938,92.53500366210938,73.90070343017578,215.2100067138672,55.92499923706055,44.86000061035156,43.89870071411133,112.41000366210938
2022-05-17 15:30:00-04:00,91.98999786376953,84.51000213623047,490.3699951171875,99.44000244140625,227.6300048828125,156.36000061035156,12.829999923706055,301.0,51.2400016784668,241.64999389648438,115.9000015258789,93.05999755859375,73.76000213623047,215.27999877929688,56.189998626708984,44.935001373291016,43.7833366394043,112.41000366210938
2022-05-18 09:30:00-04:00,91.33999633789062,78.33999633789062,441.07000732421875,93.44000244140625,196.52999877929688,129.1199951171875,12.039999961853027,291.0899963378906,48.47999954223633,233.36000061035156,112.44999694824219,98.1500015258789,72.41000366210938,161.72000122070312,62.032798767089844,42.19499969482422,41.720001220703125,110.05000305175781
2022-05-18 10:30:00-04:00,89.36990356445312,76.41000366210938,434.82000732421875,94.33999633789062,201.65499877929688,129.6199951171875,11.739700317382812,286.8699951171875,48.470001220703125,233.39999389648438,111.86000061035156,94.11000061035156,72.0199966430664,161.89999389648438,60.3650016784668,42.04999923706055,41.14500045776367,109.86000061035156
2022-05-18 11:30:00-04:00,88.44000244140625,76.05999755859375,430.1400146484375,94.12999725341797,201.4217071533203,130.0399932861328,11.65999984741211,284.8299865722656,48.40999984741211,234.33999633789062,110.69000244140625,94.69000244140625,71.69499969482422,160.1199951171875,60.755001068115234,41.6349983215332,40.87483215332031,109.91500091552734
