Datetime,APA,BKR,BP,CNQ,COP,CVX,DVN,E,EOG,EPD,HAL,KMI,OXY,PSX,PXD,SLB,TTE,VLO,WMB,XOM
2022-05-16 09:30:00-04:00,42.650001525878906,34.79499816894531,30.809999465942383,61.38100051879883,104.61000061035156,171.8249969482422,71.05999755859375,28.899999618530273,127.76000213623047,26.489900588989258,37.29999923706055,19.19499969482422,67.11000061035156,96.95999908447266,268.8500061035156,41.900001525878906,53.83000183105469,127.79000091552734,35.459999084472656,91.05000305175781
2022-05-16 10:30:00-04:00,42.2400016784668,34.47999954223633,30.729999542236328,60.91087341308594,104.41999816894531,171.8699951171875,70.4000015258789,28.84000015258789,126.37999725341797,26.325000762939453,36.849998474121094,19.024999618530273,67.1500015258789,96.37000274658203,267.2650146484375,41.5099983215332,53.84000015258789,127.4800033569336,35.22999954223633,90.61000061035156
2022-05-16 11:30:00-04:00,42.95500183105469,34.6349983215332,30.875,61.448970794677734,105.44999694824219,172.91000366210938,70.89029693603516,28.875,127.61940002441406,26.440000534057617,37.125,19.139999389648438,67.51519775390625,96.77680206298828,268.71148681640625,41.439998626708984,53.970001220703125,128.3350067138672,35.3650016784668,91.05000305175781
2022-05-16 12:30:00-04:00,43.33000183105469,34.7400016784668,31.170000076293945,61.69441604614258,106.55999755859375,174.16000366210938,71.58000183105469,29.030000686645508,127.7699966430664,26.584999084472656,37.44499969482422,19.434999465942383,68.44000244140625,97.76000213623047,270.510009765625,41.935001373291016,54.39500045776367,128.4550018310547,35.71500015258789,91.7699966430664
2022-05-16 13:30:00-04:00,43.189998626708984,34.95000076293945,31.274999618530273,61.802154541015625,107.03500366210938,174.87579345703125,71.45999908447266,29.09000015258789,127.1500015258789,26.550600051879883,37.779998779296875,19.46500015258789,68.63999938964844,97.87999725341797,269.7850036621094,42.564998626708984,54.58000183105469,128.97999572753906,35.68000030517578,91.93000030517578
2022-05-16 14:30:00-04:00,42.7677001953125,34.79999923706055,31.149999618530273,61.762977600097656,106.41000366210938,173.61000061035156,71.04000091552734,29.05500030517578,126.54499816894531,26.510000228881836,37.6150016784668,19.424999237060547,68.0250015258789,97.19000244140625,269.30999755859375,42.189998626708984,54.45000076293945,128.07000732421875,35.525001525878906,91.38999938964844
2022-05-16 15:30:00-04:00,42.41999816894531,34.93000030517578,31.020000457763672,61.7042121887207,105.5,173.02999877929688,70.98999786376953,29.0,126.36000061035156,26.459999084472656,37.56999969482422,19.40999984741211,67.80999755859375,97.0999984741211,268.94000244140625,42.13999938964844,54.34000015258789,127.87999725341797,35.45000076293945,90.95999908447266
2022-05-17 09:30:00-04:00,42.650001525878906,35.130001068115234,31.59000015258789,61.86091995239258,107.08000183105469,174.75999450683594,71.98500061035156,29.450000762939453,128.07000732421875,26.489999771118164,37.970001220703125,19.63129997253418,68.70500183105469,97.11000061035156,273.3500061035156,42.83000183105469,55.04999923706055,127.83000183105469,35.71500015258789,91.63999938964844
2022-05-17 10:30:00-04:00,43.290000915527344,35.14500045776367,31.510000228881836,62.36043167114258,107.81999969482422,175.3105010986328,72.5999984741211,29.459999084472656,128.22999572753906,26.6343994140625,38.04999923706055,19.71500015258789,68.68000030517578,97.20999908447266,276.33990478515625,42.97999954223633,55.16999816894531,128.1898956298828,35.90999984741211,91.97000122070312
2022-05-17 11:30:00-04:00,43.099998474121094,35.470001220703125,31.434999465942383,62.19392776489258,107.58999633789062,174.4199981689453,72.26000213623047,29.399999618530273,127.91999816894531,26.500099182128906,38.04999923706055,19.65999984741211,67.91960144042969,97.16000366210938,276.4599914550781,43.10499954223633,55.119998931884766,128.5399932861328,35.7599983215332,91.70999908447266
2022-05-17 12:30:00-04:00,43.15999984741211,35.345001220703125,31.440000534057617,62.25269317626953,107.52999877929688,174.32000732421875,72.25,29.3700008392334,127.72000122070312,26.600000381469727,37.939998626708984,19.674999237060547,68.13999938964844,97.2699966430664,276.1099853515625,43.125,55.150001525878906,127.69000244140625,35.70500183105469,91.83000183105469
2022-05-17 13:30:00-04:00,42.83000183105469,35.119998931884766,31.3700008392334,61.73359298706055,106.43720245361328,173.22500610351562,71.86090087890625,29.290000915527344,125.96009826660156,26.68000030517578,37.814998626708984,19.670000076293945,67.62000274658203,97.125,274.7799987792969,42.779998779296875,55.060001373291016,127.09500122070312,35.68000030517578,91.62999725341797
2022-05-17 14:30:00-04:00,43.0,35.185001373291016,31.440000534057617,61.75318145751953,106.98999786376953,173.61000061035156,72.5199966430664,29.329999923706055,127.0999984741211,26.795000076293945,37.875,19.737300872802734,68.0,97.61000061035156,275.9750061035156,42.95000076293945,55.19269943237305,128.24000549316406,35.939998626708984,92.12000274658203
2022-05-17 15:30:00-04:00,43.150001525878906,35.15999984741211,31.479999542236328,61.74338912963867,107.01000213623047,174.0500030517578,72.58000183105469,29.280000686645508,127.43000030517578,26.780000686645508,37.880001068115234,19.75,67.94000244140625,97.75,276.5899963378906,42.970001220703125,55.189998626708984,128.07000732421875,35.90999984741211,92.0999984741211
2022-05-18 09:30:00-04:00,42.310001373291016,35.040000915527344,31.8799991607666,61.180213928222656,106.62999725341797,171.67999267578125,71.95999908447266,29.395999908447266,126.05999755859375,26.6299991607666,37.130001068115234,19.625,67.11499786376953,96.87999725341797,277.510009765625,42.2400016784668,55.52000045776367,125.69000244140625,35.779998779296875,92.22000122070312
