Datetime,BBY,CMG,DG,DLTR,GPS,HLT,KMX,LOW,LVS,MAR,MCD,MGM,NKE,RCL,ROST,SBUX,TGT,TJX,WYNN,YUM
2022-05-16 09:30:00-04:00,86.13999938964844,1307.010009765625,232.1300048828125,159.8000030517578,12.300000190734863,135.72000122070312,92.39759826660156,194.03990173339844,34.814998626708984,164.4250030517578,243.1999969482422,36.63999938964844,113.16999816894531,62.81999969482422,91.66999816894531,74.19000244140625,218.6199951171875,56.540000915527344,66.54000091552734,112.19000244140625
2022-05-16 10:30:00-04:00,84.98999786376953,1311.0899658203125,231.44000244140625,159.49000549316406,12.079000473022461,134.0850067138672,92.18000030517578,192.3350067138672,34.099998474121094,162.75,243.22000122070312,36.18000030517578,112.30000305175781,61.595001220703125,90.65499877929688,73.26000213623047,217.0500030517578,55.79499816894531,65.01000213623047,111.80500030517578
2022-05-16 11:30:00-04:00,84.77999877929688,1302.4844970703125,232.0,159.9149932861328,12.255000114440918,133.39999389648438,92.43000030517578,193.86000061035156,34.0099983215332,162.58599853515625,243.75999450683594,36.060001373291016,112.06999969482422,61.58000183105469,90.87999725341797,73.38500213623047,217.97999572753906,55.790000915527344,65.04650115966797,112.11000061035156
2022-05-16 12:30:00-04:00,85.5,1312.1400146484375,235.55999755859375,161.53500366210938,12.350000381469727,133.83999633789062,93.6050033569336,195.0850067138672,33.9900016784668,162.97999572753906,243.88999938964844,35.9900016784668,112.75669860839844,62.18000030517578,91.70999908447266,73.1134033203125,220.52999877929688,56.5099983215332,65.23999786376953,112.33000183105469
2022-05-16 13:30:00-04:00,86.26000213623047,1313.4599609375,235.0800018310547,161.85499572753906,12.359999656677246,134.16000366210938,93.0999984741211,195.83999633789062,33.89500045776367,163.5500030517578,244.97000122070312,35.76499938964844,113.19999694824219,62.20000076293945,92.04000091552734,73.3499984741211,221.2899932861328,56.58000183105469,65.16999816894531,112.8949966430664
2022-05-16 14:30:00-04:00,85.44999694824219,1296.31005859375,234.60000610351562,161.61000061035156,12.489999771118164,132.90499877929688,92.48500061035156,195.52999877929688,33.439998626708984,162.38119506835938,243.7100067138672,35.2400016784668,112.44999694824219,61.54999923706055,91.7300033569336,72.79000091552734,220.36500549316406,56.189998626708984,64.23999786376953,112.19000244140625
2022-05-16 15:30:00-04:00,84.77999877929688,1301.06005859375,234.39999389648438,161.41000366210938,12.520000457763672,132.88999938964844,92.63999938964844,194.72000122070312,33.380001068115234,162.36500549316406,244.1999969482422,35.08000183105469,112.69999694824219,61.400001525878906,91.83999633789062,72.43000030517578,219.3699951171875,56.13999938964844,63.939998626708984,112.16999816894531
2022-05-17 09:30:00-04:00,82.76499938964844,1310.550048828125,226.7899932861328,158.5399932861328,12.510000228881836,134.67999267578125,95.33999633789062,191.27999877929688,34.220001220703125,164.64999389648438,243.7899932861328,35.839599609375,113.73500061035156,62.41999816894531,90.37999725341797,73.0,212.34500122070312,54.560001373291016,65.48999786376953,112.23999786376953
2022-05-17 10:30:00-04:00,82.52999877929688,1310.3199462890625,226.94000244140625,157.0399932861328,12.524999618530273,134.72999572753906,96.02999877929688,188.71499633789062,34.47999954223633,164.4499969482422,242.5449981689453,35.71500015258789,114.21040344238281,62.75,89.91999816894531,73.12999725341797,211.68499755859375,54.20000076293945,65.80500030517578,112.05999755859375
2022-05-17 11:30:00-04:00,83.51000213623047,1316.3800048828125,228.2550048828125,157.27000427246094,12.725000381469727,134.3000030517578,96.7750015258789,191.3249969482422,34.45000076293945,163.75999450683594,241.47000122070312,35.97999954223633,114.38999938964844,63.1599006652832,90.66999816894531,73.48999786376953,214.63040161132812,55.04999923706055,65.69779968261719,112.19999694824219
2022-05-17 12:30:00-04:00,83.77999877929688,1317.780029296875,227.82000732421875,158.10499572753906,12.725000381469727,134.66000366210938,96.5,191.8800048828125,34.38999938964844,164.14999389648438,241.14999389648438,35.959999084472656,114.8949966430664,63.22999954223633,91.5250015258789,73.8499984741211,213.0,55.63999938964844,65.8499984741211,112.5
2022-05-17 13:30:00-04:00,83.98999786376953,1315.0,226.8000030517578,156.52000427246094,12.739999771118164,133.77000427246094,96.19000244140625,192.35000610351562,34.16999816894531,163.17999267578125,239.82000732421875,35.529998779296875,114.66000366210938,62.790000915527344,91.37000274658203,73.48999786376953,212.9600067138672,55.6150016784668,65.45500183105469,112.0999984741211
2022-05-17 14:30:00-04:00,84.5,1319.7249755859375,227.99000549316406,156.86000061035156,12.854999542236328,134.88999938964844,96.92500305175781,194.4499969482422,34.560001373291016,164.4199981689453,241.33999633789062,35.744998931884766,115.66000366210938,63.689998626708984,92.53500366210938,73.90070343017578,215.2100067138672,55.92499923706055,66.0199966430664,112.41000366210938
2022-05-17 15:30:00-04:00,84.51000213623047,1323.02001953125,227.6300048828125,156.36000061035156,12.829999923706055,135.1300048828125,97.4800033569336,193.9199981689453,34.68000030517578,164.89999389648438,241.64999389648438,35.70000076293945,115.9000015258789,63.939998626708984,93.05999755859375,73.76000213623047,215.27999877929688,56.189998626708984,66.4000015258789,112.41000366210938
2022-05-18 09:30:00-04:00,78.33999633789062,1280.5,196.52999877929688,129.1199951171875,12.039999961853027,132.88999938964844,92.69000244140625,189.39999389648438,34.27000045776367,162.39500427246094,233.36000061035156,33.869998931884766,112.44999694824219,62.119998931884766,98.1500015258789,72.41000366210938,161.72000122070312,62.032798767089844,64.81999969482422,110.05000305175781
