Datetime,ABBV,ABT,AMGN,BIIB,BMY,CVS,DHR,GILD,ISRG,JNJ,LLY,MDT,MRK,PFE,REGN,SYK,TMO,UNH,VRTX,ZTS
2022-05-16 09:30:00-04:00,155.3300018310547,108.6500015258789,243.8800048828125,200.02000427246094,76.80500030517578,98.05999755859375,220.3457489013672,62.470001220703125,221.50999450683594,177.00999450683594,306.5799865722656,103.3550033569336,91.25,50.61000061035156,649.9500122070312,235.30079650878906,543.7249755859375,488.8507995605469,249.42999267578125,164.58999633789062
2022-05-16 10:30:00-04:00,155.72999572753906,108.14920043945312,244.64999389648438,198.6199951171875,76.91000366210938,98.04000091552734,218.28013610839844,62.43000030517578,219.11000061035156,178.08999633789062,302.9906005859375,103.11000061035156,91.55500030517578,50.505001068115234,652.1749877929688,233.19000244140625,537.5650024414062,487.3800048828125,250.72000122070312,163.7449951171875
2022-05-16 11:30:00-04:00,155.74839782714844,108.56999969482422,243.77000427246094,198.5800018310547,76.9175033569336,98.19000244140625,217.68617248535156,62.474998474121094,219.52999877929688,178.27999877929688,301.7799987792969,103.19999694824219,91.72000122070312,50.59000015258789,651.75,232.91000366210938,537.010009765625,489.0299987792969,250.64999389648438,164.25
2022-05-16 12:30:00-04:00,155.5449981689453,108.91000366210938,244.60000610351562,198.99000549316406,77.0199966430664,99.1050033569336,218.35105895996094,62.45000076293945,220.63999938964844,178.6199951171875,303.0299987792969,103.62000274658203,92.2699966430664,50.744998931884766,653.7999877929688,234.0500030517578,539.1749877929688,493.0350036621094,252.1199951171875,164.66000366210938
2022-05-16 13:30:00-04:00,156.56500244140625,110.25499725341797,244.47000122070312,199.50999450683594,77.14409637451172,99.29000091552734,219.81382751464844,62.26499938964844,221.3800048828125,178.9499969482422,301.30499267578125,104.2738037109375,92.66500091552734,50.989601135253906,655.989990234375,234.66000366210938,542.47998046875,494.7620849609375,253.9499969482422,165.5200958251953
2022-05-16 14:30:00-04:00,155.9499969482422,109.3499984741211,243.97000122070312,198.7949981689453,76.96499633789062,98.7300033569336,218.1826171875,62.38999938964844,219.75999450683594,178.1999969482422,300.0,103.80999755859375,92.55999755859375,50.80500030517578,654.3699951171875,234.08999633789062,539.5499877929688,490.8500061035156,254.00999450683594,165.72999572753906
2022-05-16 15:30:00-04:00,155.5800018310547,109.7300033569336,243.8800048828125,198.33999633789062,76.94999694824219,98.58000183105469,218.4751739501953,62.25,219.52999877929688,178.19000244140625,299.4599914550781,103.87000274658203,92.33000183105469,50.689998626708984,655.25,233.94000244140625,539.6199951171875,489.3399963378906,254.3000030517578,165.49000549316406
2022-05-17 09:30:00-04:00,155.16000366210938,114.83999633789062,243.85000610351562,198.24000549316406,77.66000366210938,98.54000091552734,219.83155822753906,62.540000915527344,222.6300048828125,178.3000030517578,301.6600036621094,105.56500244140625,93.13999938964844,51.290000915527344,659.4400024414062,237.3800048828125,550.77001953125,490.82000732421875,258.3299865722656,165.7899932861328
2022-05-17 10:30:00-04:00,155.3000030517578,114.55999755859375,244.83999633789062,200.6199951171875,78.08000183105469,99.20999908447266,219.9302215576172,62.75,222.60000610351562,178.75,301.3599853515625,105.7300033569336,93.79000091552734,51.31100082397461,663.9500122070312,236.9149932861328,548.4199829101562,492.930908203125,261.17999267578125,166.27999877929688
2022-05-17 11:30:00-04:00,155.4600067138672,113.87999725341797,245.25999450683594,201.59500122070312,78.08999633789062,99.11499786376953,219.96453857421875,62.915000915527344,223.0800018310547,178.38999938964844,300.9100036621094,105.5198974609375,94.20999908447266,51.34000015258789,664.4600219726562,236.69500732421875,548.3499755859375,491.6600036621094,262.70001220703125,166.55999755859375
2022-05-17 12:30:00-04:00,155.25,114.73999786376953,245.77499389648438,202.38999938964844,78.20999908447266,99.24500274658203,220.11524963378906,63.02299880981445,224.1199951171875,178.3800048828125,300.0874938964844,105.8499984741211,93.80000305175781,51.404998779296875,668.5900268554688,237.94000244140625,551.4249877929688,492.2699890136719,261.80999755859375,166.41000366210938
2022-05-17 13:30:00-04:00,153.42999267578125,114.18000030517578,244.3699951171875,201.9250030517578,78.05000305175781,98.9739990234375,219.75442504882812,62.779998779296875,223.32000732421875,177.55999755859375,298.67498779296875,105.46299743652344,92.97000122070312,50.994998931884766,663.760009765625,237.27000427246094,551.6699829101562,490.010009765625,260.239990234375,165.57000732421875
2022-05-17 14:30:00-04:00,154.08999633789062,114.32499694824219,245.3300018310547,202.8350067138672,78.32140350341797,99.4000015258789,219.858154296875,63.11000061035156,224.89999389648438,178.4499969482422,301.2300109863281,106.30999755859375,93.02999877929688,51.220001220703125,667.0850219726562,238.85000610351562,555.10498046875,492.1499938964844,262.0899963378906,166.47000122070312
2022-05-17 15:30:00-04:00,154.8000030517578,114.56999969482422,245.32000732421875,202.8000030517578,78.2300033569336,99.44000244140625,220.8155975341797,63.15999984741211,225.17999267578125,178.91000366210938,301.5799865722656,106.29499816894531,93.0,51.36000061035156,667.6599731445312,239.25,555.2000122070312,492.6000061035156,261.82000732421875,166.42999267578125
2022-05-18 09:30:00-04:00,153.77000427246094,113.2300033569336,245.19000244140625,200.3000030517578,77.99500274658203,93.44000244140625,218.02394104003906,63.310001373291016,220.47999572753906,177.58999633789062,296.1199951171875,105.08499908447266,92.56999969482422,50.70000076293945,665.1300048828125,233.41250610351562,544.3350219726562,480.9649963378906,257.510009765625,163.00999450683594
