Datetime,BA,CAT,DE,DOV,EMR,ETN,FTV,GD,GE,HON,IR,ITW,LMT,MMM,NOC,PH,ROP,RTX,TXT,UPS
2022-05-16 09:30:00-04:00,129.0399932861328,206.82000732421875,381.9949951171875,132.89999389648438,84.77999877929688,139.6300048828125,58.540000915527344,227.02000427246094,46.90071105957031,193.99000549316406,43.80500030517578,206.11500549316406,434.989990234375,124.51839447021484,454.69000244140625,263.1499938964844,429.3349914550781,93.18000030517578,63.55500030517578,180.23199462890625
2022-05-16 10:30:00-04:00,125.91999816894531,204.47000122070312,374.9700012207031,131.49000549316406,83.66999816894531,137.80999755859375,57.72999954223633,226.44000244140625,46.51443862915039,192.61000061035156,43.040000915527344,204.94000244140625,436.260009765625,123.98411560058594,455.94500732421875,260.6700134277344,425.4549865722656,92.58000183105469,62.95000076293945,179.0
2022-05-16 11:30:00-04:00,125.8550033569336,206.22000122070312,375.75,132.1699981689453,84.11499786376953,138.77000427246094,58.02000045776367,226.3000030517578,46.601661682128906,193.22000122070312,43.27000045776367,206.17999267578125,435.6499938964844,124.47909545898438,456.9200134277344,264.70001220703125,425.2449951171875,92.86000061035156,63.2599983215332,179.86180114746094
2022-05-16 12:30:00-04:00,126.2699966430664,207.91000366210938,377.1000061035156,132.89999389648438,84.55999755859375,139.91000366210938,58.29999923706055,226.7449951171875,46.807254791259766,194.61000061035156,43.61000061035156,207.07000732421875,439.0899963378906,125.65217590332031,458.45001220703125,267.4100036621094,429.8599853515625,93.1500015258789,63.79999923706055,181.0500030517578
2022-05-16 13:30:00-04:00,126.75,208.8800048828125,377.739990234375,133.66000366210938,84.80000305175781,139.4499969482422,58.5099983215332,228.13999938964844,46.88201904296875,194.89500427246094,43.70000076293945,207.44000244140625,439.7900085449219,125.88545227050781,460.489990234375,267.2300109863281,433.0299987792969,93.41999816894531,63.67499923706055,181.8699951171875
2022-05-16 14:30:00-04:00,125.81500244140625,207.82000732421875,377.1449890136719,133.67999267578125,84.37000274658203,139.0800018310547,58.2599983215332,227.19000244140625,46.720035552978516,194.35000610351562,43.540000915527344,207.25999450683594,438.67010498046875,125.41806030273438,459.55999755859375,266.42498779296875,430.3500061035156,92.77999877929688,63.26390075683594,180.41000366210938
2022-05-16 15:30:00-04:00,124.08309936523438,207.1699981689453,374.45001220703125,133.41000366210938,84.47000122070312,139.0399932861328,58.130001068115234,227.86000061035156,46.520668029785156,193.9499969482422,43.45000076293945,207.0800018310547,437.5799865722656,125.86956787109375,458.3599853515625,265.5400085449219,429.8900146484375,92.5,63.11000061035156,179.82000732421875
2022-05-17 09:30:00-04:00,126.8009033203125,211.3699951171875,380.7550048828125,133.6649932861328,86.2300033569336,142.08999633789062,58.849998474121094,228.66000366210938,47.36797332763672,196.76499938964844,44.11000061035156,208.4022979736328,438.0150146484375,126.07859802246094,459.26251220703125,268.69000244140625,430.5849914550781,93.94000244140625,64.51499938964844,181.83999633789062
2022-05-17 10:30:00-04:00,128.02000427246094,211.13999938964844,381.010009765625,135.06500244140625,86.16999816894531,142.6699981689453,59.290000915527344,230.5800018310547,47.61717987060547,197.5,44.43000030517578,209.8800048828125,439.9097900390625,126.36287689208984,458.7699890136719,269.739990234375,429.9800109863281,94.4800033569336,64.91999816894531,181.22850036621094
2022-05-17 11:30:00-04:00,128.9199981689453,211.73500061035156,382.4800109863281,135.6999969482422,86.19999694824219,142.97000122070312,59.599998474121094,231.125,47.724273681640625,198.72500610351562,44.665000915527344,210.6199951171875,439.29998779296875,126.85618591308594,457.8399963378906,270.947509765625,432.79998779296875,94.36000061035156,65.16000366210938,182.16000366210938
2022-05-17 12:30:00-04:00,131.1199951171875,212.08529663085938,383.6499938964844,135.5800018310547,86.3949966430664,143.32000732421875,59.77000045776367,231.38999938964844,47.754241943359375,199.55999755859375,44.77000045776367,210.69000244140625,440.6400146484375,127.04849243164062,458.8399963378906,271.29998779296875,433.010009765625,94.72000122070312,65.33000183105469,181.8300018310547
2022-05-17 13:30:00-04:00,130.72500610351562,211.27999877929688,382.239990234375,135.3300018310547,85.98999786376953,142.55999755859375,59.52000045776367,231.1591033935547,47.47700119018555,198.89390563964844,44.58000183105469,210.52999877929688,439.95001220703125,126.76421356201172,458.8550109863281,270.1099853515625,431.9700012207031,94.71499633789062,65.13999938964844,181.91000366210938
2022-05-17 14:30:00-04:00,132.39999389648438,212.78500366210938,384.8699951171875,135.6300048828125,86.51000213623047,143.42999267578125,59.78499984741211,231.82000732421875,47.77293395996094,199.47000122070312,44.75,211.99000549316406,441.1499938964844,127.29096984863281,457.9599914550781,272.1449890136719,433.3399963378906,94.9000015258789,65.66999816894531,183.22000122070312
2022-05-17 15:30:00-04:00,132.0800018310547,213.2100067138672,384.489990234375,135.94000244140625,86.41999816894531,143.39999389648438,59.59000015258789,231.61000061035156,47.61717987060547,199.0399932861328,44.84000015258789,212.3000030517578,441.0,127.38294219970703,459.5400085449219,272.489990234375,432.55999755859375,94.94999694824219,65.69000244140625,183.1699981689453
2022-05-18 09:30:00-04:00,129.94000244140625,214.25999450683594,380.4892883300781,132.44000244140625,85.54000091552734,139.57000732421875,58.959999084472656,231.27999877929688,47.39912414550781,197.5,44.5276985168457,206.96499633789062,439.2900085449219,125.73979949951172,457.989990234375,269.2744140625,420.7900085449219,94.19999694824219,64.86000061035156,176.66000366210938
